date,hour,energy_kWh
6/23/2012,4,0.467
6/23/2012,5,0.789
6/23/2012,6,0.47
6/23/2012,7,0.704
6/23/2012,8,0.759
6/23/2012,9,1.103
6/23/2012,10,0.724
6/23/2012,11,0.521
6/23/2012,12,0.49
6/23/2012,13,0.681
6/23/2012,14,0.512
6/23/2012,15,0.562
6/23/2012,16,0.994
6/23/2012,17,0.525
6/23/2012,18,1.213
6/23/2012,19,1.205
6/23/2012,20,1.195
6/23/2012,21,1.184
6/23/2012,22,1.173
6/23/2012,23,1.16
6/24/2012,0,1.146
6/24/2012,1,1.132
6/24/2012,2,0.816
6/24/2012,3,0.805
6/24/2012,4,0.794
6/24/2012,5,0.782
6/24/2012,6,0.771
6/24/2012,7,0.759
6/24/2012,8,0.748
6/24/2012,9,0.737
6/24/2012,10,0.727
6/24/2012,11,0.716
6/24/2012,12,0.707
6/24/2012,13,0.698
6/24/2012,14,0.689
6/24/2012,15,0.682
6/24/2012,16,0.676
6/24/2012,17,0.67
6/24/2012,18,0.666
6/24/2012,19,0.663
6/24/2012,20,0.661
6/24/2012,21,0.66
6/24/2012,22,0.661
6/24/2012,23,0.664
6/25/2012,0,0.668
6/25/2012,1,0.674
6/25/2012,2,1.136
6/25/2012,3,1.153
6/25/2012,4,1.173
6/25/2012,5,1.197
6/25/2012,6,1.224
6/25/2012,7,1.255
6/25/2012,8,1.291
6/25/2012,9,1.33
6/25/2012,10,0.495
6/25/2012,11,0.456
6/25/2012,12,0.483
6/25/2012,13,0.47
6/25/2012,14,0.639
6/25/2012,15,0.662
6/25/2012,16,1.308
6/25/2012,17,0.867
6/25/2012,18,0.761
6/25/2012,19,1.16
6/25/2012,20,0.973
6/25/2012,21,1.184
6/25/2012,22,1.015
6/25/2012,23,1.025
6/26/2012,0,0.601
6/26/2012,1,0.495
6/26/2012,2,0.497
6/26/2012,3,0.506
6/26/2012,4,0.478
6/26/2012,5,0.502
6/26/2012,6,0.633
6/26/2012,7,0.952
6/26/2012,8,0.505
6/26/2012,9,1.047
6/26/2012,10,0.683
6/26/2012,11,2.702
